,date,turnover
129,16/12/2010 11,409210
130,16/12/2010 12,284626
131,16/12/2010 13,475615
132,16/12/2010 14,416957
133,16/12/2010 15,210927
134,16/12/2010 16,168553
135,16/12/2010 17,408051
136,16/12/2010 18,171714
137,16/12/2010 19,238887
138,17/12/2010 08,35701
139,17/12/2010 09,2838
140,17/12/2010 10,364552
141,17/12/2010 11,247315
142,17/12/2010 12,235386
143,17/12/2010 13,104996
144,17/12/2010 14,1656112
145,17/12/2010 15,347875
146,17/12/2010 16,494344
147,17/12/2010 17,666105
148,17/12/2010 18,3300
149,19/12/2010 10,23687
150,19/12/2010 11,263469
151,19/12/2010 12,38594
152,19/12/2010 13,89629
153,19/12/2010 14,157322
154,19/12/2010 15,124355
155,20/12/2010 08,-5010
156,20/12/2010 09,127875
157,20/12/2010 10,372414
158,20/12/2010 11,207139
159,20/12/2010 12,76469
160,20/12/2010 13,558233
161,20/12/2010 14,230452
162,20/12/2010 15,346087
163,20/12/2010 16,97217
164,20/12/2010 17,154185
165,21/12/2010 09,112445
166,21/12/2010 10,107701
167,21/12/2010 11,150
168,21/12/2010 12,116835
169,21/12/2010 13,325238
170,21/12/2010 14,129258
171,21/12/2010 15,3670943
172,21/12/2010 16,11205
173,21/12/2010 17,40737
174,22/12/2010 10,116290
175,22/12/2010 11,75056
176,22/12/2010 12,71907
177,22/12/2010 13,71722
178,22/12/2010 14,69171
179,22/12/2010 15,-465
180,22/12/2010 16,72760
181,23/12/2010 09,38871
182,23/12/2010 10,14590
183,23/12/2010 11,92885
184,23/12/2010 12,213602
185,23/12/2010 13,526206
186,23/12/2010 14,110237
187,23/12/2010 15,96829
188,23/12/2010 16,42042
189,23/12/2010 17,521
190,04/01/2011 10,156616
191,04/01/2011 11,143215
192,04/01/2011 12,207447
193,04/01/2011 13,514620
194,04/01/2011 14,237155
195,04/01/2011 15,102138
196,04/01/2011 16,59730
197,04/01/2011 17,-63960
198,05/01/2011 09,-3274240
199,05/01/2011 10,456873
200,05/01/2011 11,731725
201,05/01/2011 12,781329
202,05/01/2011 13,305108
203,05/01/2011 14,135215
204,05/01/2011 15,270744
205,05/01/2011 16,288271
206,05/01/2011 17,23855
207,06/01/2011 08,40740
208,06/01/2011 09,189301
209,06/01/2011 10,102941
210,06/01/2011 11,887211
211,06/01/2011 12,640531
212,06/01/2011 13,116251
213,06/01/2011 14,401463
214,06/01/2011 15,661204
215,06/01/2011 16,432516
216,06/01/2011 17,103463
217,06/01/2011 18,123999
218,07/01/2011 09,360749
219,07/01/2011 10,123550
220,07/01/2011 11,386970
221,07/01/2011 12,385675
222,07/01/2011 13,463574
223,07/01/2011 14,592426
224,07/01/2011 15,126768
225,07/01/2011 16,80749
226,07/01/2011 17,24149
227,09/01/2011 10,232371
228,09/01/2011 11,474699
229,09/01/2011 12,234572
230,09/01/2011 13,105107
231,09/01/2011 14,192022
232,09/01/2011 15,179906
233,09/01/2011 16,38760
234,10/01/2011 09,711841
235,10/01/2011 10,103584
236,10/01/2011 11,176881
237,10/01/2011 12,133363
238,10/01/2011 13,139262
239,10/01/2011 14,572995
240,10/01/2011 15,170234
241,10/01/2011 16,228033
242,10/01/2011 17,23140
243,11/01/2011 07,14490
244,11/01/2011 08,1417160
245,11/01/2011 09,628208
246,11/01/2011 10,155262
247,11/01/2011 11,443276
248,11/01/2011 12,2159532
249,11/01/2011 13,373273
250,11/01/2011 14,756247
251,11/01/2011 15,83447
252,11/01/2011 16,-3563
253,11/01/2011 17,-1160
254,12/01/2011 09,388146
255,12/01/2011 10,191698
256,12/01/2011 11,333406
257,12/01/2011 12,152325
258,12/01/2011 13,206066
259,12/01/2011 14,123743
260,12/01/2011 15,654980
261,12/01/2011 16,130576
262,13/01/2011 09,380051
263,13/01/2011 10,285230
264,13/01/2011 11,140174
265,13/01/2011 12,290895
266,13/01/2011 13,98719
267,13/01/2011 14,452073
268,13/01/2011 15,273877
269,13/01/2011 17,-3160
270,14/01/2011 08,12780
271,14/01/2011 09,185891
272,14/01/2011 10,516093
273,14/01/2011 11,83725
274,14/01/2011 12,1192774
275,14/01/2011 13,300068
276,14/01/2011 14,2079531
277,14/01/2011 15,37980
278,14/01/2011 16,-1774
279,14/01/2011 17,-1802
280,16/01/2011 10,82230
281,16/01/2011 11,38668
282,16/01/2011 12,109468
283,16/01/2011 13,84092
284,16/01/2011 14,47266
285,16/01/2011 15,100968
286,16/01/2011 16,189092
287,17/01/2011 10,77742
288,17/01/2011 11,469595
289,17/01/2011 12,149341
290,17/01/2011 13,288243
291,17/01/2011 14,132617
292,17/01/2011 15,221090
293,17/01/2011 16,179661
294,17/01/2011 17,1243259
295,18/01/2011 08,62695
296,18/01/2011 09,205544
297,18/01/2011 10,110026
298,18/01/2011 11,134292
299,18/01/2011 12,66297
300,18/01/2011 13,180150
301,18/01/2011 14,289566
302,18/01/2011 15,304495
303,18/01/2011 16,179657
304,18/01/2011 17,160875
305,19/01/2011 08,4518
306,19/01/2011 09,351512
307,19/01/2011 10,118815
308,19/01/2011 11,249083
309,19/01/2011 12,817896
310,19/01/2011 13,68427
311,19/01/2011 14,195618
312,19/01/2011 15,445208
313,19/01/2011 16,128835
314,19/01/2011 17,43030
315,20/01/2011 09,54131
316,20/01/2011 10,248911
317,20/01/2011 11,-79436
318,20/01/2011 12,447291
319,20/01/2011 13,77295
320,20/01/2011 14,273914
321,20/01/2011 15,255586
322,20/01/2011 16,-15063
323,20/01/2011 17,-5065
324,20/01/2011 18,591623
325,20/01/2011 19,21846
326,21/01/2011 09,63037
327,21/01/2011 10,29558
328,21/01/2011 11,882643
329,21/01/2011 12,67294
330,21/01/2011 13,798610
331,21/01/2011 14,254702
332,21/01/2011 15,315727
333,21/01/2011 16,-11771
334,21/01/2011 17,517010
335,23/01/2011 10,151890
336,23/01/2011 11,52508
337,23/01/2011 12,172901
338,23/01/2011 13,129355
339,23/01/2011 14,84524
340,23/01/2011 15,129224
341,23/01/2011 16,222738
342,24/01/2011 08,16500
343,24/01/2011 09,337149
344,24/01/2011 10,390975
345,24/01/2011 11,416962
346,24/01/2011 12,130545
347,24/01/2011 13,628300
348,24/01/2011 14,344187
349,24/01/2011 15,97865
350,24/01/2011 16,44777
351,25/01/2011 08,100269
352,25/01/2011 09,168338
353,25/01/2011 10,428609
354,25/01/2011 11,306056
355,25/01/2011 12,377980
356,25/01/2011 13,818327
357,25/01/2011 14,311039
358,25/01/2011 15,82403
359,25/01/2011 16,45378
360,25/01/2011 17,-56176
361,26/01/2011 08,32640
362,26/01/2011 09,131535
363,26/01/2011 10,174033
364,26/01/2011 11,256536
365,26/01/2011 12,380711
366,26/01/2011 13,298571
367,26/01/2011 14,172193
368,26/01/2011 15,71017
369,26/01/2011 16,281914
370,26/01/2011 17,48176
371,27/01/2011 08,47558
372,27/01/2011 09,125586
373,27/01/2011 10,405733
374,27/01/2011 11,350106
375,27/01/2011 12,32456
376,27/01/2011 13,340610
377,27/01/2011 14,128245
378,27/01/2011 15,364517
379,27/01/2011 16,134527
380,27/01/2011 17,-17632
381,27/01/2011 18,24042
382,27/01/2011 19,18135
383,28/01/2011 09,-14720
384,28/01/2011 10,474262
385,28/01/2011 11,83289
386,28/01/2011 12,441645
387,28/01/2011 13,300936
388,28/01/2011 14,261031
389,28/01/2011 15,164930
390,28/01/2011 16,22690
391,28/01/2011 17,125
392,30/01/2011 10,86502
393,30/01/2011 11,55203
394,30/01/2011 12,57125
395,30/01/2011 13,70616
396,30/01/2011 14,176919
397,30/01/2011 15,161227
398,31/01/2011 08,27497
399,31/01/2011 09,742906
400,31/01/2011 10,183611
401,31/01/2011 11,139922
402,31/01/2011 12,409418
403,31/01/2011 13,290542
404,31/01/2011 14,148825
405,31/01/2011 15,118023
406,31/01/2011 16,33575
407,01/02/2011 08,101707
408,01/02/2011 09,113824
409,01/02/2011 10,775480
410,01/02/2011 11,264866
411,01/02/2011 12,208814
412,01/02/2011 13,597128
413,01/02/2011 14,139847
414,01/02/2011 15,361930
415,01/02/2011 16,55986
416,02/02/2011 07,94800
417,02/02/2011 09,83861
418,02/02/2011 10,405424
419,02/02/2011 11,145933
420,02/02/2011 12,500764
421,02/02/2011 13,299993
422,02/02/2011 14,183329
423,02/02/2011 15,127086
424,02/02/2011 16,27940
425,02/02/2011 17,95693
426,03/02/2011 08,27642
427,03/02/2011 09,237271
428,03/02/2011 10,258696
429,03/02/2011 11,216427
430,03/02/2011 12,763720
431,03/02/2011 13,323092
432,03/02/2011 14,160819
433,03/02/2011 15,65571
434,03/02/2011 17,42209
435,03/02/2011 18,41400
436,03/02/2011 19,29455
437,04/02/2011 08,199541
438,04/02/2011 09,270354
439,04/02/2011 10,234409
440,04/02/2011 11,457708
441,04/02/2011 12,202180
442,04/02/2011 13,560359
443,04/02/2011 14,367330
444,04/02/2011 15,42919
445,04/02/2011 16,19393
446,04/02/2011 17,0
447,06/02/2011 11,58026
448,06/02/2011 12,24632
449,06/02/2011 13,76042
450,06/02/2011 14,129238
451,06/02/2011 15,8104
452,06/02/2011 16,10042
453,07/02/2011 09,146231
454,07/02/2011 10,91006
455,07/02/2011 11,283440
456,07/02/2011 12,208138
457,07/02/2011 13,168558
458,07/02/2011 14,351319
459,07/02/2011 15,1130432
460,07/02/2011 16,31518
461,08/02/2011 09,130759
462,08/02/2011 10,307114
463,08/02/2011 11,211796
464,08/02/2011 12,606905
465,08/02/2011 13,107411
466,08/02/2011 14,428626
467,08/02/2011 15,160429
468,08/02/2011 16,10310
469,08/02/2011 17,12390
470,09/02/2011 09,6728
471,09/02/2011 10,172758
472,09/02/2011 11,606696
473,09/02/2011 12,273234
474,09/02/2011 13,235247
475,09/02/2011 14,85522
476,09/02/2011 15,45758
477,09/02/2011 16,157419
478,10/02/2011 09,145639
479,10/02/2011 10,191387
480,10/02/2011 11,249377
481,10/02/2011 12,199414
482,10/02/2011 13,92947
483,10/02/2011 14,109902
484,10/02/2011 15,135697
485,10/02/2011 16,53471
486,10/02/2011 17,29601
487,10/02/2011 19,21604
488,11/02/2011 08,25905
489,11/02/2011 09,140100
490,11/02/2011 10,297416
491,11/02/2011 11,846905
492,11/02/2011 12,522876
493,11/02/2011 13,82611
494,11/02/2011 14,20169
495,11/02/2011 15,149354
496,11/02/2011 16,13368
497,11/02/2011 17,-102816
498,13/02/2011 10,16390
499,13/02/2011 11,119049
500,13/02/2011 12,144852
501,13/02/2011 13,48431
502,13/02/2011 14,36260
503,13/02/2011 15,111825
504,13/02/2011 16,33731
505,14/02/2011 09,1216142
506,14/02/2011 10,65276
507,14/02/2011 11,197477
508,14/02/2011 12,484009
509,14/02/2011 13,52601
510,14/02/2011 14,123799
511,14/02/2011 15,310654
512,14/02/2011 16,-375
513,15/02/2011 08,52041
514,15/02/2011 09,1569832
515,15/02/2011 10,354151
516,15/02/2011 11,240772
517,15/02/2011 12,-52231
518,15/02/2011 13,151870
519,15/02/2011 14,739981
520,15/02/2011 15,169325
521,15/02/2011 16,9465
522,15/02/2011 17,150702
523,16/02/2011 08,38570
524,16/02/2011 09,259472
525,16/02/2011 10,387919
526,16/02/2011 11,282294
527,16/02/2011 12,379431
528,16/02/2011 13,233691
529,16/02/2011 14,329684
530,16/02/2011 15,255627
531,16/02/2011 16,135168
532,17/02/2011 08,124017
533,17/02/2011 09,30852
534,17/02/2011 10,522187
535,17/02/2011 11,398279
536,17/02/2011 12,771965
537,17/02/2011 13,89448
538,17/02/2011 14,270611
539,17/02/2011 15,171303
540,17/02/2011 16,30272
541,17/02/2011 17,30373
542,17/02/2011 19,33503
543,18/02/2011 08,70178
544,18/02/2011 09,123040
545,18/02/2011 10,277079
546,18/02/2011 11,418135
547,18/02/2011 12,244956
548,18/02/2011 13,139665
549,18/02/2011 14,45399
550,18/02/2011 15,15358
551,18/02/2011 16,168483
552,18/02/2011 17,-740
553,20/02/2011 10,200632
554,20/02/2011 11,14233
555,20/02/2011 12,157746
556,20/02/2011 13,240474
557,20/02/2011 14,218263
558,20/02/2011 15,54307
559,21/02/2011 08,180458
560,21/02/2011 09,115862
561,21/02/2011 10,1948833
562,21/02/2011 11,181015
563,21/02/2011 12,179192
564,21/02/2011 13,206363
565,21/02/2011 14,-36164
566,21/02/2011 15,-908035
567,21/02/2011 16,-195
568,21/02/2011 17,42821
569,21/02/2011 18,253355
570,22/02/2011 08,10815
571,22/02/2011 09,173801
572,22/02/2011 10,392855
573,22/02/2011 11,334908
574,22/02/2011 12,333705
575,22/02/2011 13,418981
576,22/02/2011 14,106784
577,22/02/2011 15,797096
578,22/02/2011 16,409470
579,22/02/2011 17,83033
580,23/02/2011 08,201307
581,23/02/2011 09,269387
582,23/02/2011 10,229739
583,23/02/2011 11,634006
584,23/02/2011 12,483625
585,23/02/2011 13,224619
586,23/02/2011 14,85134
587,23/02/2011 15,290144
588,23/02/2011 16,115823
589,23/02/2011 17,4417
590,24/02/2011 09,358452
591,24/02/2011 10,200931
592,24/02/2011 11,150220
593,24/02/2011 12,192642
594,24/02/2011 13,72321
595,24/02/2011 14,357518
596,24/02/2011 15,149041
597,24/02/2011 16,222547
598,24/02/2011 17,63826
599,24/02/2011 18,301921
600,25/02/2011 08,120176
601,25/02/2011 09,211085
602,25/02/2011 10,347314
603,25/02/2011 11,225359
604,25/02/2011 12,191856
605,25/02/2011 13,246672
606,25/02/2011 14,386909
607,25/02/2011 15,158475
608,25/02/2011 16,-240905
609,25/02/2011 17,50284
610,27/02/2011 10,208224
611,27/02/2011 11,197736
612,27/02/2011 12,176776
613,27/02/2011 13,90198
614,27/02/2011 14,137748
615,27/02/2011 15,66666
616,28/02/2011 08,54926
617,28/02/2011 09,128208
618,28/02/2011 10,277547
619,28/02/2011 11,225160
620,28/02/2011 12,185899
621,28/02/2011 13,210073
622,28/02/2011 14,187335
623,28/02/2011 15,167542
624,28/02/2011 16,509772
625,28/02/2011 17,46341
626,01/03/2011 08,88021
627,01/03/2011 09,476580
628,01/03/2011 10,182472
629,01/03/2011 11,252139
630,01/03/2011 12,325292
631,01/03/2011 13,76414
632,01/03/2011 14,609627
633,01/03/2011 15,89210
634,01/03/2011 16,201606
635,01/03/2011 17,51581
636,02/03/2011 08,180026
637,02/03/2011 09,268300
638,02/03/2011 10,21129
639,02/03/2011 11,216641
640,02/03/2011 12,387086
641,02/03/2011 13,138154
642,02/03/2011 14,223440
643,02/03/2011 15,25851
644,02/03/2011 16,176153
645,02/03/2011 17,27652
646,03/03/2011 08,101090
647,03/03/2011 09,374863
648,03/03/2011 10,1792320
649,03/03/2011 11,58837
650,03/03/2011 12,202597
651,03/03/2011 13,212544
652,03/03/2011 14,167892
653,03/03/2011 15,127977
654,03/03/2011 16,243236
655,03/03/2011 18,71893
656,03/03/2011 19,29134
657,04/03/2011 08,76552
658,04/03/2011 09,442452
659,04/03/2011 10,208129
660,04/03/2011 11,29926
661,04/03/2011 12,383517
662,04/03/2011 13,163880
663,04/03/2011 14,262041
664,04/03/2011 15,54487
665,04/03/2011 16,134600
666,04/03/2011 17,53213
667,06/03/2011 10,27796
668,06/03/2011 11,191943
669,06/03/2011 12,230979
670,06/03/2011 14,242211
671,06/03/2011 15,179985
672,06/03/2011 16,795
673,07/03/2011 08,18495
674,07/03/2011 09,180177
675,07/03/2011 10,1029930
676,07/03/2011 11,278341
677,07/03/2011 12,205255
678,07/03/2011 13,204755
679,07/03/2011 14,408410
680,07/03/2011 15,-87899
681,07/03/2011 16,47587
682,07/03/2011 17,523220
683,08/03/2011 08,25127
684,08/03/2011 09,238952
685,08/03/2011 10,109610
686,08/03/2011 11,491442
687,08/03/2011 12,358661
688,08/03/2011 13,239151
689,08/03/2011 14,304982
690,08/03/2011 15,442719
691,08/03/2011 16,97956
692,08/03/2011 17,36007
693,09/03/2011 08,116372
694,09/03/2011 09,103637
695,09/03/2011 10,260551
696,09/03/2011 11,539637
697,09/03/2011 12,249194
698,09/03/2011 13,191070
699,09/03/2011 14,194947
700,09/03/2011 15,176356
701,09/03/2011 16,158734
702,09/03/2011 17,0
703,10/03/2011 07,83750
704,10/03/2011 08,66777
705,10/03/2011 09,369673
706,10/03/2011 10,314631
707,10/03/2011 11,598083
708,10/03/2011 12,297120
709,10/03/2011 13,175733
710,10/03/2011 14,254332
711,10/03/2011 15,62428
712,10/03/2011 16,211066
713,10/03/2011 17,790
714,10/03/2011 18,1377
715,10/03/2011 19,16650
716,11/03/2011 08,54788
717,11/03/2011 09,160376
718,11/03/2011 10,68014
719,11/03/2011 11,329266
720,11/03/2011 12,220981
721,11/03/2011 13,617023
722,11/03/2011 14,178486
723,11/03/2011 15,83202
724,11/03/2011 16,361644
725,13/03/2011 10,132179
726,13/03/2011 11,81296
727,13/03/2011 12,30770
728,13/03/2011 13,55093
729,13/03/2011 14,38508
730,13/03/2011 15,49447
731,14/03/2011 08,97689
732,14/03/2011 09,439278
733,14/03/2011 10,272861
734,14/03/2011 11,178477
735,14/03/2011 12,326319
736,14/03/2011 13,791547
737,14/03/2011 14,72789
738,14/03/2011 15,199725
739,14/03/2011 16,24435
740,14/03/2011 17,0
741,15/03/2011 08,41839
742,15/03/2011 09,108283
743,15/03/2011 10,265165
744,15/03/2011 11,148204
745,15/03/2011 12,218642
746,15/03/2011 13,105633
747,15/03/2011 14,764612
748,15/03/2011 15,223762
749,15/03/2011 16,106217
750,16/03/2011 08,57638
751,16/03/2011 09,276249
752,16/03/2011 10,131084
753,16/03/2011 11,303943
754,16/03/2011 12,433022
755,16/03/2011 13,136192
756,16/03/2011 14,290696
757,16/03/2011 15,117133
758,16/03/2011 16,62275
759,16/03/2011 17,1485
760,17/03/2011 07,370683
761,17/03/2011 09,183533
762,17/03/2011 10,1202906
763,17/03/2011 11,7140
764,17/03/2011 12,256685
765,17/03/2011 13,162983
766,17/03/2011 14,33109
767,17/03/2011 15,172386
768,17/03/2011 16,200511
769,17/03/2011 17,18173
770,17/03/2011 18,877412
771,17/03/2011 19,67353
772,17/03/2011 20,70547
773,18/03/2011 08,55311
774,18/03/2011 09,268581
775,18/03/2011 10,236371
776,18/03/2011 11,191331
777,18/03/2011 12,-287219
778,18/03/2011 13,646132
779,18/03/2011 14,185083
780,18/03/2011 15,139586
781,18/03/2011 16,-790
782,18/03/2011 17,30008
783,20/03/2011 10,463883
784,20/03/2011 11,391518
785,20/03/2011 12,211238
786,20/03/2011 13,503358
787,20/03/2011 14,226421
788,20/03/2011 15,163946
789,20/03/2011 16,55162
790,21/03/2011 08,137629
791,21/03/2011 09,70003
792,21/03/2011 10,315267
793,21/03/2011 11,222777
794,21/03/2011 12,200909
795,21/03/2011 13,115189
796,21/03/2011 14,313730
797,21/03/2011 15,136827
798,21/03/2011 16,55194
799,21/03/2011 17,13126
800,22/03/2011 08,59756
801,22/03/2011 09,617117
802,22/03/2011 10,102394
803,22/03/2011 11,181561
804,22/03/2011 12,680745
805,22/03/2011 13,174561
806,22/03/2011 14,180469
807,22/03/2011 15,431479
808,22/03/2011 16,560708
809,22/03/2011 17,19802
810,23/03/2011 08,26694
811,23/03/2011 09,108008
812,23/03/2011 10,343662
813,23/03/2011 11,116966
814,23/03/2011 12,290072
815,23/03/2011 13,387291
816,23/03/2011 14,334210
817,23/03/2011 15,495037
818,23/03/2011 16,57901
819,23/03/2011 17,14700
820,24/03/2011 08,133556
821,24/03/2011 09,294899
822,24/03/2011 10,220383
823,24/03/2011 11,204710
824,24/03/2011 12,297291
825,24/03/2011 13,440662
826,24/03/2011 14,187343
827,24/03/2011 15,53636
828,24/03/2011 16,80762
829,24/03/2011 17,91900
830,24/03/2011 18,1150673
831,24/03/2011 19,32323
832,25/03/2011 08,115741
833,25/03/2011 09,576
834,25/03/2011 10,258233
835,25/03/2011 11,200138
836,25/03/2011 12,712055
837,25/03/2011 13,77853
838,25/03/2011 14,856089
839,25/03/2011 15,257941
840,25/03/2011 16,396206
841,25/03/2011 17,16189
842,27/03/2011 10,177405
843,27/03/2011 11,157748
844,27/03/2011 12,117126
845,27/03/2011 13,103246
846,27/03/2011 14,60010
847,27/03/2011 15,143187
848,27/03/2011 16,64315
849,28/03/2011 07,45998
850,28/03/2011 08,30776
851,28/03/2011 09,215130
852,28/03/2011 10,193906
853,28/03/2011 11,27180
854,28/03/2011 12,112720
855,28/03/2011 13,197208
856,28/03/2011 14,328685
857,28/03/2011 15,546621
858,28/03/2011 16,117935
859,29/03/2011 08,54117
860,29/03/2011 09,111951
861,29/03/2011 10,127571
862,29/03/2011 11,1792714
863,29/03/2011 12,158611
864,29/03/2011 13,1610764
865,29/03/2011 14,165831
866,29/03/2011 15,432881
867,29/03/2011 16,2181250
868,29/03/2011 17,63550
869,30/03/2011 09,404217
870,30/03/2011 10,387339
871,30/03/2011 11,320956
872,30/03/2011 12,381566
873,30/03/2011 13,452131
874,30/03/2011 14,244223
875,30/03/2011 15,415446
876,30/03/2011 16,303037
877,30/03/2011 17,58408
878,31/03/2011 09,299286
879,31/03/2011 10,295540
880,31/03/2011 11,150809
881,31/03/2011 12,27227
882,31/03/2011 13,843826
883,31/03/2011 14,359587
884,31/03/2011 15,81204
885,31/03/2011 16,612231
886,31/03/2011 17,118703
887,31/03/2011 18,50335
888,31/03/2011 19,95826
889,01/04/2011 08,60959
890,01/04/2011 09,189467
891,01/04/2011 10,191092
892,01/04/2011 11,273401
893,01/04/2011 12,534044
894,01/04/2011 13,392253
895,01/04/2011 14,461589
896,01/04/2011 15,30803
897,01/04/2011 16,140744
898,01/04/2011 17,990
899,03/04/2011 10,102201
900,03/04/2011 11,214449
901,03/04/2011 12,108465
902,03/04/2011 13,25992
903,03/04/2011 14,73527
904,03/04/2011 15,128247
905,04/04/2011 08,203829
906,04/04/2011 09,104289
907,04/04/2011 10,48711
908,04/04/2011 11,191327
909,04/04/2011 12,720928
910,04/04/2011 13,277085
911,04/04/2011 14,162933
912,04/04/2011 15,294546
913,04/04/2011 16,371903
914,05/04/2011 08,94670
915,05/04/2011 09,47364
916,05/04/2011 10,473179
917,05/04/2011 11,308355
918,05/04/2011 12,324084
919,05/04/2011 13,503085
920,05/04/2011 14,76011
921,05/04/2011 15,157370
922,05/04/2011 16,154344
923,05/04/2011 17,538629
924,06/04/2011 09,33260
925,06/04/2011 10,182692
926,06/04/2011 11,456094
927,06/04/2011 12,247394
928,06/04/2011 13,186311
929,06/04/2011 14,257987
930,06/04/2011 15,134964
931,06/04/2011 16,29630
932,06/04/2011 17,139879
933,07/04/2011 08,1259
934,07/04/2011 09,108044
935,07/04/2011 10,291673
936,07/04/2011 11,294889
937,07/04/2011 12,437799
938,07/04/2011 13,336299
939,07/04/2011 18,27202
940,07/04/2011 19,228967
941,08/04/2011 07,54758
942,08/04/2011 08,305524
943,08/04/2011 09,309331
944,08/04/2011 10,195380
945,08/04/2011 11,282704
946,08/04/2011 12,419869
947,08/04/2011 13,108201
948,08/04/2011 14,114469
949,08/04/2011 15,410482
950,08/04/2011 16,0
951,08/04/2011 17,7021
952,10/04/2011 10,41514
953,10/04/2011 11,264005
954,10/04/2011 12,101872
955,10/04/2011 13,104966
956,10/04/2011 14,31230
957,10/04/2011 15,283829
958,10/04/2011 16,70875
959,11/04/2011 08,314909
960,11/04/2011 09,104340
961,11/04/2011 10,609535
962,11/04/2011 11,252400
963,11/04/2011 12,138999
964,11/04/2011 13,212865
965,11/04/2011 14,146561
966,11/04/2011 15,81517
967,11/04/2011 16,161039
968,11/04/2011 17,49789
969,12/04/2011 08,59810
970,12/04/2011 09,308472
971,12/04/2011 10,669721
972,12/04/2011 11,122232
973,12/04/2011 12,197197
974,12/04/2011 13,524413
975,12/04/2011 14,161844
976,12/04/2011 15,170311
977,12/04/2011 16,159512
978,12/04/2011 17,10321
979,13/04/2011 08,42402
980,13/04/2011 09,148404
981,13/04/2011 10,563575
982,13/04/2011 11,331911
983,13/04/2011 12,174889
984,13/04/2011 13,240847
985,13/04/2011 14,318846
986,13/04/2011 15,317821
987,13/04/2011 16,71560
988,13/04/2011 17,14730
989,14/04/2011 08,320908
990,14/04/2011 09,240917
991,14/04/2011 10,270137
992,14/04/2011 11,263417
993,14/04/2011 12,400593
994,14/04/2011 13,563769
995,14/04/2011 14,215038
